,Unnamed: 0,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,vol_mean
2902,2902,603031,安德利,百货,安徽,0.0,0.0,0.0,123785.65,43645.87,52779.01,5957.56,0.0,0.0,0.0,0.0,0,9.10180098653
2903,2903,603007,花王股份,建筑施工,江苏,0.0,0.0,0.0,0.0,55020.61,0.0,0.0,0.0,0.0,0.0,0.0,0,9.10008089304
2911,2911,2810,山东赫达,化工原料,山东,0.0,0.0,0.0,79317.9,32045.56,35950.1,709.4,0.0,0.0,0.0,0.0,0,9.09959467284
22,22,603159,上海亚虹,专用机械,上海,35.14,2500.0,10000.0,34383.96,19125.28,12137.55,1791.6,0.18,0.206,3.08,4.72,20160812,9.0953340998
15,15,2808,苏州恒久,元器件,江苏,61.08,3000.0,12000.0,36054.12,26694.83,6793.75,4095.76,0.34,0.133,3.4,4.79,20160812,9.09383150552
14,14,601595,上海电影,影视音像,上海,24.54,9350.0,37350.0,170166.19,85104.81,20603.67,838.15,0.02,0.329,3.23,5.0,20160817,9.09350873406
0,0,300533,N冰川,软件服务,深圳,30.04,2500.0,10000.0,82066.8,79386.72,870.67,4427.12,0.44,0.887,7.49,7.12,20160818,9.09242841783
32,32,300531,优博讯,软件服务,深圳,58.93,2000.0,8000.0,36314.19,34644.09,591.16,2062.04,0.26,0.318,4.86,7.72,20160809,9.09239755623
1,1,300532,N今天,软件服务,深圳,31.27,2100.0,8400.0,77945.25,62830.55,1759.4,6943.68,0.83,0.376,6.33,3.71,20160818,9.09218607553
17,17,300535,达威股份,化工原料,四川,47.19,1494.0,5974.0,41037.59,22382.17,8433.51,7684.75,1.29,0.413,7.57,5.15,20160812,9.09020829636
2,2,603986,N兆易,半导体,北京,23.4,2500.0,10000.0,89517.36,78155.78,0.0,0.0,0.0,0.358,8.09,4.14,20160818,9.08951757543
24,24,300530,达志科技,化工原料,广东,51.33,1750.0,7000.0,29978.77,21553.43,1395.2,4039.11,0.58,0.327,5.27,6.36,20160809,9.08918542584
2900,2900,603515,欧普照明,电气设备,上海,0.0,0.0,0.0,338579.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.08876923858
2908,2908,300538,同益股份,批发业,深圳,0.0,0.0,0.0,31941.33,30638.63,705.21,3127.09,0.0,0.0,0.0,0.0,0,9.08728721478
2912,2912,2809,红墙股份,化工原料,广东,0.0,0.0,0.0,55341.76,44895.1,6909.5,5881.78,0.0,0.0,0.0,0.0,0,9.08605810534
2906,2906,300540,深冷股份,专用机械,四川,0.0,0.0,0.0,71159.6,65509.82,1648.6,5408.49,0.0,0.0,0.0,0.0,0,9.08515022978
40,40,2806,华锋股份,元器件,广东,134.89,2000.0,8000.0,46273.96,25404.02,14690.7,321.58,0.04,0.167,4.0,11.29,20160726,8.95179360055
39,39,300526,中潜股份,专用机械,广东,113.55,2125.0,8490.74,60863.67,22848.28,8638.01,421.58,0.05,0.209,4.49,10.56,20160802,8.87511088307
20,20,300528,幸福蓝海,影视音像,江苏,47.8,7763.0,31050.66,189342.77,129137.92,29931.4,55351.75,1.78,0.214,5.81,3.52,20160808,8.77004883617
37,37,300525,博思软件,软件服务,福建,604.23,1710.0,6813.89,26181.35,11728.91,12041.23,4107.85,0.6,0.07,4.54,18.73,20160726,8.53228473584
35,35,300529,健帆生物,医疗保健,广东,100.1,4200.0,41200.0,77533.78,48296.48,25537.32,12.59,0.0,0.244,1.8,27.19,20160802,8.39715519587
13,13,603663,三祥新材,矿物制品,福建,101.76,3355.0,13415.0,31196.27,20012.13,8652.71,4259.18,0.32,0.129,2.55,10.28,20160801,8.39260294121
26,26,601811,新华文轩,出版业,四川,39.21,9871.0,123384.1,1056788.88,465083.19,139101.94,207300.25,1.68,0.14,6.11,3.6,20160808,8.39190162099
25,25,603569,长久物流,仓储物流,北京,50.35,4001.0,40001.0,226149.34,183401.13,8709.03,337.23,0.01,0.391,2.92,13.47,20160810,8.35264916606
6,6,600936,广西广电,影视音像,广西,40.29,30000.0,167102.63,557745.69,129443.47,285125.06,2530.36,0.02,0.114,1.58,5.83,20160815,8.31933615099
27,27,300527,华舟应急,专用机械,湖北,70.47,11570.0,46270.0,215044.3,160759.77,34960.1,29019.11,0.63,0.16,2.86,7.89,20160805,8.18481526998
44,44,600977,中国电影,影视音像,北京,40.34,46700.0,186700.0,1367655.75,0.0,0.0,0.0,0.0,0.155,3.59,6.97,20160809,7.91424932665
34,34,603322,超讯通信,通信设备,广东,1788.33,2000.0,8000.0,64296.28,60751.57,2047.6,6455.45,0.81,0.01,4.0,18.03,20160728,7.80322999327
31,31,300523,辰安科技,软件服务,北京,479.27,2000.0,8000.0,72850.05,58575.9,12479.75,8665.92,1.08,0.166,5.47,29.19,20160726,7.421370745
1479,1479,300520,科大国创,软件服务,安徽,616.8,2300.0,9200.0,48741.8,41187.55,3840.31,6357.06,0.69,0.107,3.99,33.02,20160708,6.72746419646
