,Unnamed: 0,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,vol_mean,day_count,vol_up,vol_down,vol_sum
1208,1208,300466,赛摩电气,电器仪表,江苏,622.03,9540.0,29685.56,59304.73,45784.1,7417.27,22429.1,0.76,0.012,1.98,15.12,20150528,6.458004968,134.0,66.0,67.0,98.9716731697
1205,1205,300495,美尚生态,建筑施工,江苏,141.72,5010.0,20377.09,170672.31,95878.95,2820.5,53795.21,2.64,0.078,5.2,8.47,20151222,6.14622433098,118.0,47.0,71.0,94.2867684961
1286,1286,2654,万润科技,半导体,深圳,98.67,38987.35,80284.27,309643.97,141848.63,54628.05,97006.4,1.21,0.079,2.61,5.98,20120217,6.09476005603,117.0,49.0,67.0,145.302713593
590,590,300496,中科创达,软件服务,北京,182.69,9771.82,40305.96,127413.76,107687.36,4037.26,59602.05,1.48,0.081,2.49,23.83,20151210,6.00069689228,179.0,77.0,102.0,123.719799972
1945,1945,300450,先导智能,专用机械,江苏,73.76,16898.33,40800.0,195506.25,166505.95,16543.32,8291.88,0.2,0.233,1.83,18.74,20150518,5.73031485285,156.0,72.0,84.0,250.56437662
2752,2752,300441,鲍斯股份,机床制造,浙江,435.55,7603.2,34851.12,64322.16,32086.05,22615.76,7922.16,0.23,0.018,1.46,21.06,20150423,5.71822183991,100.0,47.0,53.0,38.7042782448
1153,1153,600576,万家文化,影视音像,浙江,289.4,47980.48,63496.85,192492.8,78766.57,1499.08,109395.7,1.72,0.019,2.72,8.2,20030220,5.71700089856,124.0,56.0,68.0,38.7962795706
1210,1210,300451,创业软件,软件服务,浙江,3035.72,11668.88,21100.34,84972.68,67570.5,7548.56,35904.87,1.7,0.004,2.91,15.27,20150514,5.67114983283,183.0,85.0,98.0,201.691197022
2466,2466,300362,天翔环境,环境保护,四川,651.02,16487.66,42561.69,395600.13,271541.59,50883.48,127402.35,2.99,0.006,3.83,4.05,20140121,5.5583571573,110.0,43.0,66.0,182.918736583
2440,2440,603318,派思股份,专用机械,辽宁,0.0,10620.0,36570.0,98858.55,68025.36,16453.3,15468.42,0.42,-0.032,1.23,11.85,20150424,5.48842270449,155.0,74.0,81.0,169.908851073
1327,1327,2280,联络互动,软件服务,浙江,110.29,64604.28,217714.95,649910.06,484543.56,264.46,313531.03,1.44,0.045,2.68,7.36,20090821,5.45440992703,155.0,67.0,87.0,98.0518625504
2890,2890,2712,思美传媒,广告包装,浙江,120.72,8715.69,28608.57,207267.16,132647.88,638.59,42521.1,1.49,0.083,3.34,11.95,20140123,5.3936318069,150.0,67.0,82.0,123.535873423
2553,2553,300419,浩丰科技,软件服务,北京,124.15,8162.33,18387.68,144068.31,62946.11,6118.56,99694.55,5.42,0.074,7.27,5.03,20150122,5.30962787093,235.0,115.0,120.0,289.399184593
1234,1234,300299,富春通信,通信设备,福建,128.36,18503.97,38000.26,162821.48,58775.8,2076.08,80193.43,2.11,0.107,3.54,7.77,20120319,5.28996496604,87.0,40.0,47.0,12.9935824145
1214,1214,300427,红相电力,电气设备,福建,0.0,8808.17,28374.4,70770.97,62433.69,6060.93,19952.45,0.7,-0.02,1.97,11.13,20150217,5.2575770038,169.0,76.0,93.0,246.056533097
888,888,2786,银宝山新,专用机械,深圳,93.45,9534.0,38124.0,273795.28,202554.91,52434.83,42771.94,1.12,0.073,2.59,10.48,20151223,5.21492395515,170.0,66.0,103.0,53.0220368678
2826,2826,300410,正业科技,电器仪表,广东,971.27,4875.0,18112.08,73078.68,43594.18,7384.72,17002.85,0.94,0.011,3.43,12.81,20141231,5.18446175478,131.0,58.0,73.0,50.8082394445
29,29,300459,金科娱乐,化工原料,浙江,190.71,12965.62,52708.69,539948.81,218206.59,24248.77,401016.88,7.61,0.22,9.08,5.35,20150515,5.17265773481,160.0,68.0,92.0,46.3238339975
1115,1115,601388,怡球资源,铝,江苏,0.0,202540.0,202540.0,358323.94,268445.75,49140.6,111052.67,0.55,-0.008,1.06,4.14,20120423,5.14762605536,124.0,62.0,61.0,297.785581285
9,9,2619,巨龙管业,水泥,浙江,124.13,28157.48,80002.1,370231.06,89851.06,32955.6,263758.91,3.3,0.036,4.04,4.4,20110929,5.10181334822,98.0,40.0,57.0,71.5101014934
